T17C.1	79.0	63.0	83.5	82.0	93.5	57.5	68.5	83.5	78.0	86.0	63.5	64.0	64.5	55.5
T17C.2	67	66	66.5	75	67.5	68	76.5	77	79	64.5	43.5	54.5	46	44
T17C.3	46.5	63	72	47	59	55	42				40	46	37.5	
T17D.1	61.5	61	61	75	74	55.5	68	78.5	73.5	75	45	55.5	54.5	56
T17D.2	66.5	71.0	62.0	63.0	80.0	68.5	88.0	72.0	66.5	81.5	56.5	48.0	55.5	51.5
T17D.3	85	79									54.5	41.5	46	56
T18A.1														
T18B.1														
T18B.2	71	73	76.5	73	67	66.5	75	71.5	76	72	55.5	57	62	
T18B.3	72.5	65.5	65	64	60	68.5	68	71	76.5	68	55	57	43	54.5
T18C.1	77	59	65	75	67.5	64.5	78.5	70	76.5	78	50	49.5	52	33
T18C.2											48.5	41		
T18C.3	73.0	57.5	62.0	53.5	65.5	68.0	60.0	53.5	62.5	58.5	47.5	48.5	47.5	45.0
T18D.1	73	80	70.5	76	74.5	69.5	70	61	70	74	47.5	50.5	49.5	41.5
T18D.2	72	54.5	51.5	59	63.5	76.5	68.5	62	79.5	64.5	54.5	46.5	54	50
T18D.3	50	65	67	55	60.5	52	55.5	61.5	53	53.5	51	55	47.5	45.5
T19A.1	50	42	45	53	54.5	52	49.5	50	46.5	46	52.5	43.5	45	44.5
T19A.2	68	60.5	69.5	69	67	56.5	60	50	67	54.5	49	45	54	52
T19A.3	72	61.5	59	67	67.5	56	69	71.5	65	67	51	62.5	53.5	48.5
T19B.1	58	63.5									48	45.5	53.5	42.5
T19B.2	54	53	61	63.5	59.5	61.5	65.5	60	65	54.5	54.5	55.5	49	45
T19B.3	48	57	50.5	47	60	51.5	47.5	50	61	60.5	39.5	44.5	39	45
T19C.1	59	61.5	52	48.5	52.5	60.5	61.5	51	57	48	45	42.5	40.5	48
T19C.2	64.5	56	53	71	48	52.5	42	47	50	55				
T19C.3	55.5	56.5	56	51	60	62	55	56			45	36.5	35	38
T19D.1	57.0	50.0	50.5	54.0	67.0	62.5	63.0	63.5	56.0	75.0	50.0	49.0	50.5	44.5
T19D.2											32.5			
T19D.3	89	79.5	61	69	74.5	70.5	65.5	67	61.5	60	38.5	42	41.5	45
T1A.3	66.0	65.5	56.5	64.5	58.0	59.5	67.0	66.5	70.0	71.5	43.5	37.5	42.5	40.0
T1B.2	70	57.5									51	50		
T1D.3	58.0	55.0	57.5	55.0	49.0	54.5	55.0	59.0	54.0	56.0	50.0	59.0	50.0	60.0
T20B.1														
T20C.2														
T20D.3	70										54.5	45.5	52.5	63.5
T21A.1														
T21A.3	76.5	67.5	69.5	71	82	70.5	74	65	74.5	71	58.5	55.5	55.5	50
T21B.1	53	51.5	65.5	58	56	53	50	63.5	58.5	67	44.5	40	50	43.5
T21B.2	50	62.5	66.5	55	53	59	56	62.5	54.5	55.5	52.5	51.5	49.5	47.5
T21B.3	59	73	65	63.5	70	64	64.5	61.5	82	61	44	52	53.5	43
T21C.1	71	59.5	60	61	60	63	59.5	53	54	51.5	42.5	51	53.5	50.5
T21C.2	83	69.5	73.5	70.5	59.5	79.5	76	68	71	68	59.5	45.5	55.5	44.5
T21C.3	59	57.5	57	60	63	51	63.5	53.5	60	55	44	41	44.5	47
T21D.1	56.5	57	66	59.5	57	58	55	59.5	52.5	61.5	56.5	47.5	53	54.5
T21D.2														
T21D.3														
T22C.3	80	73	82.5	85	80	92	93	79	69	70.5	57	59.5	60	56.5
T22A.1	59.5	45	40	50	45	55.5	46	45.5	50.5	53.5	48.5	46	43	52
T22A.3	61.5	48.5	57	63	62.5	50.5	63	57.5	53	63.5	55	53.5	53	49
T22B.1	60	66.5	68	70	76	68.5	61	71.5	70	72	52	49	61	57
T22B.2	65	64	62	75	61	61.5	68	79	64	73.5	55.5	49.5	48.5	57.5
T22B.3	64.5	68	59.5	66.5	54	67	67.5	71	62	59	50	51.5	48.5	55.5
T22C.1	45	64.5	59.5	66.5	61	90	80	82.5	70	61	39.5	45.5		
T22C.2	65	59	61.5	73	73	67	65	85.5	65.5	64.5	50	62.5	58.5	65.5
T22D.1											46.5	51.5	55.5	46.5
T22D.2	72.5	63	58	51	50	52.5	58	55	62	50.5	41.5	42	40	45
T22D.3	69	61	60	65.5	60.5	61.5	54.5	59.5	62	64	49	35	47	46.5
T23A.2	64.5	45.0	56.5	54.5	62.5	57.0	44.5	63.0	58.5	60.5	50.0	53.0	51.5	49.0
T23A.3	52.5	63.5	62.5	58.0	48.0	64.5	63.0	56.0	64.5	49.0	47.0	58.5	53.0	52.0
T23B.1	53.5	63.5	55.0	64.5	56.5	66.0	62.5	61.5	60.5	69.5	48.0	39.0	44.0	49.0
T23B.2	59	60	62.5	63	57	58.5	50	52	64.5	55.5	50	52	53	43.5
T23B.3	51.0	55.0	57.0	73.5	50.0	73.0	64.0	52.0	63.0	56.0	49.0	47.0	49.0	45.0
T23C.1	61.5	68.5	66	77	66.5	67	70	69.5	72	61.5	56	62	58.5	61.5
T23C.2	68.0	61.5	77.5	70.0	61.0	62.5	54.5	62.0	59.5	67.0	42.5	47.0	42.0	51.5
T23D.1	70.0	56.5	70.5	74.5	55.0	57.5	56.0	55.5	70.0	44.0	69.5	52.5	57.0	53.5
T23D.3														
T24A.1	55	70.5	59	70.5	66	56	65	69.5	66	53.5	54	54	53.5	48.5
T24A.2	71	57.5	57.5	58.5	59	69	52	59	59	57	42.5	39.5	49.5	
T24A.3	62.0	54.5	73.5	63.0	64.5	58.5	67.0	65.5	74.0	71.0	62.0	54.5	60.0	62.5
T24B.1	71.5	60.5	72.0	76.0	69.5	85.0	69.0	58.5	81.5	80.0	52.5	57.0	45.0	55.5
T24B.2	63.5	64.5	73	76.5	68	67	65	65.5	64.5	61.5	51	52.5	47	41.5
T24B.3	63.0	67.0	75.0	75.0	72.0	70.0	86.0	64.0	85.0	68.0	52.0	47.0	51.0	53.0
T24C.1	69	62	66.5	62.5	60	63	66	58.5	67	70	49	55	52.5	52
T24C.2	64.5	71.0	79.0	73.0	78.5	57.0	65.0	64.0	65.5	85.5				
T24C.3	65	68.5	74.5	59	63.5	77	71	58	58.5	65	49.5	44.5	51	42
T24D.1														
T27A.1	59	49.5	63.5	42	51	61	60	59.5	60	44.5	45	39.5		
T27A.2	50	53	56.5	58.5	54	53.5	54.5	64	53	56.5	50.5	49.5	35	41.5
T27A.3	67	56	63	55	69	61.5	51	54.5	49.5	53	51	50	48	50.5
T27B.1	70.5	74	52	62	65	68	69	63	57	84.5	47.5	42	42.5	46.5
T27B.2	67	52	44.5	50.5	47.5	60	56	52.3	43.5	50	32	29.5	38.5	38
T27B.3	63.0	63.5	69.5	73.5	74.5	55.0	71.5	72.0	55.0	59.0	47.0	40.5	48.5	53.5
T27C.1														
T27C.2														
T27C.3	60.5	60	55	55.5	61	62	62.5	54	64.5	68.5	44	41	41.5	34
T27D.1														
T27D.2	46	43	44	40.5							47	36.5	49.5	40
T27D.3	56.5	58.5	41.5	54.0	55.0	64.0	40.5	42.5	49.5	45.0	49.5	46.5	43.0	42.5
T2A.2	77.5	66.5	59	66	75	72	61	76	67.5	61.5	39	51.5	49.5	51
T2A.3	66.0	63.0	62.5	59.0	73.5	64.0	62.0	71.5	72.0	65.0	54.5	51.0	53.0	56.5
T2B.1	49.0	60.0	66.0	44.0	53.0	53.0	52.0	50.0	51.0	61.0	48.0	49.0	42.0	47.5
T2C.1	70.0	72.5	74.5	69.5	78.5	75.0	68.5	66.5	64.5	60.0	55.0	52.0	52.5	51.0
T2C.2	86.5	60.5	72.0	66.0	82.5	62.5	69.0	70.5	77.0	77.5	62.5	69.5	57.0	60.0
T2D.3	71.5	74	66	76	68	63	61.5				58.5	52.5	54.5	43.5
T3A.1														
T3A.3	62.5	67.5	57.5	56	57.5	59.5	61	53	70.5	67.5	51.5	48	40.5	53
T3B.1														
T3B.2	53	49	50	50.5	67	58	57	65.5	58.5	62.5	48	42	41	47.5
T3B.3	100.0	87.5	87.0	86.0	110.0	80.0	82.5	101.0	81.5	88.5	55.0	50.0	50.0	59.0
T3C.1														
T3C.2	73.5	82.5	80.5	66.5	75	76	64.5	68.5	76.5	70.5	58	51	50.5	57
T3D.3	71.0	88.0	65.0	78.0	68.0	68.0	79.0	72.0	78.0	89.0	56.0	58.0	55.0	64.0
T4A.1	56.5	57	48	42.5	60	59.5	58	60	47.5	52.5	49	45	39.5	55
T4B.2	63.5	61.0	45.0	67.5	45.5	58.0	67.0	70.0	57.5	60.5	54.5	59.0	45.0	52.5
T4B.3	53.5	59.5	67.0	59.0	56.5	63.5	57.5				55.5	58.0	42.5	54.0
T4C.2	74.5	80.5	75	80.5	62.5	60	60.5	65	72	59	50.5	47	51.5	51.5
T4C.3														
T4D.3	60.0	58.5	62.0	61.5	70.5	53.5	65.5	60.5	58.5	68.5	43.5	38.5	37.0	36.0
T5A.2	77	71	69	64.5	71.5	74.5	81	68	71.5	86.5	46	41.5	42.5	52.5
T5B.1														
T5B.2	72.5	72	68	73	62	59.5	60.5	79	62	71	57.5	48.5	59	61
T5B.3	64	57.5	57	57.5	67	69	63	74	60.5	63.5	46	51	48	50
T5C.1	65.5	65.0	59.5	57.5	67.5	65.0	66.0	73.0	60.5	66.5	42.5	52.0	44.5	45.0
T5C.3	66.5	66.0	68.0	64.5	71.5	60.5	76.0	73.0	70.5	72.5	44.5	44.0	45.5	48.0
T5D.1	65.0	96.0	67.5	57.5	75.5	75.0	76.5	83.5	63.5	52.0	46.0	43.5	48.5	57.0
T6A.1	77.0	79.0	80.5	79.0	81.5	78.5	82.5	85.0	89.0	94.0	45.0	53.0	52.0	55.0
T6A.3														
T6B.1	64.0	80.0	73.0	76.0	72.0	72.0	77.0	65.0	76.0	81.0	50.0	44.0	66.0	41.0
T6B.2														
T6D.2	65	60	68.5	64.5	68.5	73	77.5	72	66	72.5	51.5	51.5	42.5	54
T7B.2														
T7B.3	59.0	62.5	61.5	62.5	74.0	67.0	51.5	64.0	59.5	63.5	42.0	47.5	42.5	43.5
T7D.1	63.5	69.5	59	70	71.5	73.5	62	68	62.5	65	46	46.5	49.5	58.5
T8A.1											66			
T8A.2	64.5	65	68.5	79.5	62.5	60.5	59.5	65.5	61	70	48.5	47.5	41.5	49.5
T8A.3	66.5	54.5	55	69.5	62	70	52	54.5	60	56	53.5	55.5	46.5	46
T8B.1	54	50.5	42	52										
T8B.2	78	63.5	68.5	75	76.5	60	56.5	74	68	72	52.5	59.5	47.5	53
T8B.3	43.5	35.5	51											
T8C.1	59	57.5	62.5	58	55	50	63.5	50.5	67.5	69.5	43	47	48.5	42
T8C.2	58.5	69.5	77.5	67.5	83	68	68.5	60	72.5	70	56	50	53.5	48.5
T8D.1														
T8D.2														
T9C.2														
T9D.3														
